time,page 
0,130.14123529411768 
10,182.01908333333327 
20,209.87858333333335 
30,270.2475510204082 
40,322.142365079365 
50,351.563219512195 
60,356.1135813953488 
70,914.7206447368422 
80,505.78068421052615 
90,779.4345945945945 
100,2374.1910909090925 
110,1782.0873414634136 
120,2287.8106785714276 
130,3661.1433076923063 
140,4804.5620315789465 
150,6656.02334939759 
160,7740.486505882353 
170,8891.15274157303 
180,10974.445376470596 
190,11523.393093023262 
200,12342.612965909084 
210,12610.794715596336 
220,15271.12904651163 
230,10384.860941605843 
240,7646.021007662839 
250,10708.171851612908 
260,8331.632344036701 
270,8026.6453367697595 
280,7485.045755775578 
290,10559.71495454546 
300,20726.340854368922 
310,19455.05647142858 
320,19938.80285714286 
330,17966.124590361447 
340,9624.644921568628 
343,2518.0287499999995 
